Cc1cc2c(cc1C)NC(=O)C[C@H]2c3ccccc3OC,4.17
COc1ccc2c(c1)O[C@@](CC2=O)(C(F)(F)F)O,2.79
CC1(O[C@H]([C@H](O1)C(=O)N)C(=O)N)C(C)(C)C,1.6
CCOc1cc(cc(c1OCC)OCC)c2nnc(o2)c3ccco3,3.96
CN(C)c1ccc(cc1)C(=C)c2ccc(cc2)N(C)C,5.3
Cc1ccc(o1)[C@H](C#CC(c2ccccc2)(c3ccccc3)O)O,3.53
CC(C)(C)c1cc(n[nH]1)Cc2ccccc2,4.35
C[C@H]1C[C@@H](CC(C1)(C)C)NC(=S)NCc2csc3c2cccc3,6.21
CCNc1nc(nc(n1)Oc2ccc(nn2)OCC)NC(C)C,3.14
c1ccc2c(c1)OCCOCCOCCO2,1.81
c1ccc2c(c1)c3c(c(=O)o2)[C@H](C(=C(O3)N)C#N)c4cccs4,2.34
CCOC(=O)CC1=Nn2c(nnc2SC1)c3cccs3,2.98
c1ccc2c(c1)CC[C@@H](O2)C(=O)Nc3ccc(cc3)C(F)(F)F,4.5
CC(C)(C)C(=O)CSc1nc(cc(n1)OC(=O)N(C)C)COC,3.33
Cc1cc(ccc1[N+](=O)[Or])C(=O)NCCc2c([nH]c3c2cccc3)C,4.12
c1cc(c(c(c1)Cl)[C@@H]2CC(=O)Nc3c2cc4c(c3)OCCO4)F,3.96
CSc1c(c(cs1)c2cccs2)C#N,3.69
c1ccc(c(c1)C(F)(F)F)NC(=O)NC2CCCCC2,4
CCn1c2c(nc1NC[C@H](c3ccccc3)O)n(c(=O)n(c2=O)C)C,3.24
Cc1c(nc2c(n1)c(nnc2N)N)C,1.14
c1ccc(cc1)N(c2ccccc2)c3nc(nc(n3)N4CCCC4)C#N,5.38
c1cc2c(cc1c3csc(n3)CC#N)OCCCO2,2.68
CC1(O[C@@H]([C@H](O1)C(=O)N(C)C)C(=O)N(C)C)C,1.49
COC(=O)[C@H]1[C@H](OC(O1)c2ccccc2)C(=O)OC,2.49
CCN(CC)c1ccc(c(c1)OC)C=C2C(=O)c3ccccc3C2=O,5.05
CC(C)(C)S(=O)(=O)/C(=C/Nc1ccc(cc1)OC(F)(F)F)/C#N,4.28
CCC[C@@H]1C(=O)C[C@@H](C(C1(C#N)C#N)(C#N)C#N)C(C)C,3.3
Cc1c(cccc1OCc2ccccc2)[N+](=O)[Or],4.41
CC12CCCC(C1)(CCC2)C(=O)N,2.73
Cc1c(c(c(c(c1C)C)CSc2nnc(n2C)CC#N)C)C,4.14
CCOc1nc(nc(n1)N2CCOCC2)C#N,2.46
Cc1cc(c(c(c1)C)[C@H]2[C@@H]3CCCC=C3C(=C(C2(C#N)C#N)N)C#N)C,5.48
C1COC2(O1)[C@@H]3[C@H]4C[C@H]5[C@@H]3C(=O)[C@@H]6[C@H]5[C@H]4[C@H]26,0.51
c1cc(ccc1C(=O)C2CC2)F,2.61
C[C@]1(OC[C@H](O1)Cn2cncn2)c3ccc(cc3Cl)Cl,3.68
Nc1nc3c(cc2sc(N)nc2n3)s1,1.56
C[C@@]1(CC[C@H](C1(C)C)C(=O)N2CCOCC2)C(=O)N3CCOCC3,2.46
Cc1nc(cs1)c2ccc(cc2)Cl,3.65
CN(C)/C=C/C(=O)c1ccc(cc1)C#Cc2ccccc2,4.69
CCCn1c(=O)c(cn(c1=O)c2ccccc2C)Br,2.82
Cc1cc2c(cc1OCC(=O)OC)occ(c2=O)c3csc(n3)C,3.9
Cc1ccc2c(nc(nc2c1)Nc3[nH]c(=O)c4c(n3)CCCC4)C,3.92
CCCCOc1ccc(cc1)/C=C/C(=O)NC(C)C,4.45
CCN(CC)S(=O)(=O)N1CCC[C@@H](C1)C(=O)NC2CCCCC2,3.58
CC(=CCCC1=NN([C@@](C1)(C)CCC=C(C)C)C=O)C,5.02
O=S(NC(C)c1ccccc1)(C)=O,1.8
CC[C@@]1(NC(=S)N2N1C(=S)N[C@@]2(C)CC)C,2.44
CCCc1c2c(n[nH]1)OC(=C([C@H]2c3ccsc3C)C#N)N,3.83
CC(C)(C)C(=O)Nc1ccc(cc1)NC(=O)C(C)(C)C,2.79
COC(=O)N[C@@H](C(=O)c1ccccc1)O,1.41
COc1ccc(cc1OC)c2nnc(s2)N,2.34
c1cc2c(cc1c3csc(n3)CC#N)OCCO2,2.92
c1ccc2c(c1)nc(s2)SCC(=O)c3cccs3,4.04
CC(C)[C@@H]1[C@@H]2CCCC=C2[C@@H]3CCCC[C@@H]3O1,5.87
c1ccc(cc1)Nc2ccccc2N,2.67
O1C(=CC=C1)C(=O)C(C(=CC(=O)C1=CC=CO1)SC)C,
CC(=O)c1cc2ccccc2o1,2.15
O=C(N2c3c(S(C(F)(F)F)=O)cccc3)c1ccccc1C2=O,3.3
CC1(OC(=O)C(=Cc2ccc(s2)[N+](=O)[Or])C(=O)O1)C,3.04
CCN(CC)C(=O)[C@]12CC[C@](C1(C)C)(C(=O)O2)C,2.66
O=C(C)/N=C2/Sc1c(N2N(C(C)=O)C(C)=O)nc(cccc3)c3n1,1.1
c1ccc2c(c1)nc3n2C=C(NN3)N/N=C/c4ccc(cc4)Cl,4.81
N12C(=O)C3=C(c4cccc(c42)CC1)OC(=O)C=C3OC(=O)C,
Cc1c(c(=O)oc2c1ccc(c2C)OC)C,3.45
Cn1c2ccccc2n3c1c(c4c3nc(c(n4)C#N)C#N)C#N,3.61
CC(C)OC(=O)c1ccc2c(c1)c3c([nH]2)CCCC3,4.97
COc1ccc(cc1)[C@@H]2CCCC[C@H]2O,2.85
CC1=C[C@@](CC(C1)(C)C)([C@@]2(CC(CC(=C2)C)(C)C)O)O,
Cc1cccc(c1C)NC(=O)NC(C)C,2.7
C1CC[C@@]2([C@H](C1)CCC(=O)O2)O,1.16
O1C(=O)C=C(c2c(cc(cc21)OC(=O)C)OC(=O)C)CCC,
Cc1cc(=O)oc2c1ccc(c2)OC(C)C,3.33
Cc1cc(ccc1O[C@@H](C)C(=O)NC2CCCCCC2)Cl,5.45
c1cnc(nc1)SCc2ccc(c(c2)Cl)Cl,4.33
C[C@@]1(CC(O[P@]1(=O)C)(C)C)O,0.71
COC(=O)/C=C/c1ccc(c(c1)OC(=O)OC)OC(=O)OC,
